attribute,attribute_definition,attribute_dimension,attribute_complexity_id
Access to economic opportunity,The degree to which physical means and processes (e.g. transportation networks) enable individuals and communities to benefit from new or alternative income-earning or subsistence activities (C1) AND the degree to which non-physical means and processes (i.e. collectives) enable individuals and communities to benefit from new or alternative income-earning or subsistence activities exist. (C2),Socio-economic,multi-c
Access to knowledge,The extent to which individuals and communities have equitable access to the variety of existing knowledge about the system (C1) AND the ability of individuals and communities to derive benefit from the variety of existing knowledge about the system (C2),Socio-economic,multi-c
Accountable,"The degree to which decisions and decision makers can be held culpable to both the individuals and communities that they govern (C1) AND the degree to which decisions and decision makers are held culpable to higher-level mandates, commitments, goals, and objectives they serve (C2)",Governance,multi-c
Adaptive,"The capacity to implement a structured, iterative process of continual innovation, testing, learning, and adjustment that facilitates robust, flexible decision-making and action in the face of uncertainty and complexity.",Governance,single-c
Age structure,The extent to which the age distribution of individuals within the fished population is intact and well-distributed.,Ecological,single-c
Agency,"The capacity of individuals and communities to negotiate, make decisions, and act on their own free will.",Socio-economic,single-c
Cross-scale integration,"The degree to which actors and/or organizations acknowledge, work with, and attempt to understand the relevance and transition of scale and the interlinkages between various other organizations, institutions, and management structures.",Governance,single-c
Economic diversity,"The variety of income earning activities that an individual, household, or community can partake in within the fishery (C1) AND the variety of income earning activities that an individual, household, or community can partake in outside the fishery (C2)",Socio-economic,multi-c
Ecosystem connectivity,"The degree to which an ecosystem facilitates the structural and physical connection among suitable, adjacent, and/or available ecosystem functions and components.",Ecological,single-c
Efficient and effective,The ability of governance to produce outcomes that achieve societal and/or fishery objectives (C1) AND the ability of governance to use resources efficiently (C2),Governance,multi-c
Equitable and inclusive,The extent to which governance is fair in the distribution of burdens and benefits (C1) AND the management system is procedurally equitable and engaged and inclusive of marginalized and disadvantaged groups (C2),Governance,multi-c
Flexible and agile infrastructure,The ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes. (C1) AND the ability of built structure and facilities  quickly respond to predictable and unpredictable changes. (C2),Socio-economic,multi-c
Habitat diversity,"The range of suitable, adjacent, and available habitats that a target fish population can exploit",Ecological,single-c
Knowledge diversity,The degree of variety in the origins of knowledge sources available to individuals and members of the community [and used in decision-making].,Socio-economic,single-c
Leadership and initiative,"The degree to which leaders are guided by collective interests, who mobilize and direct responses to disruptions and who take responsibility and act when necessary (C1) AND the degree to which the governance system legitimizes and supports the development of such leaders (C2)",Governance,multi-c
Learning capacity,The extent to which individuals and communities are able to recognize change and potential risk (C1) AND the extent to which individuals and communities have the knowledge to pose solutions to risks (C2),Socio-economic,multi-c
Mobility,"The extent to which individual fishers, fishworkers can move freely (C1) AND the extent to which communities and fishing operations  can move freely (C2)",Socio-economic,multi-c
Participatory,"The degree to which an institution empowers participants to influence and share control in processes of public decision-making, ranging from intermittent consultation opportunities to ongoing self-mobilization.",Governance,single-c
Polycentric,The degree to which multiple bodies at different levels of the governance system overlap and interact to make and enforce rules within a specific policy arena or location.,Governance,single-c
Population abundance,The abundance or biomass of a species present in a defined geographic range is high,Ecological,single-c
Resilience mindset,The ability of individuals demonstrate resilience thinking,Socio-economic,single-c
Responsive,"The sensitivity, readiness, speed, and accuracy with which a governance system handles, resolves, and follows up on a management-relevant change to meet stakeholdersâ€™ needs.",Governance,single-c
Social capital,The level and strength of social networks between individuals (C1) AND the level and strength of existing  networks between organizations in the system (C2),Socio-economic,multi-c
Species diversity,The level of diversity of species within the broader ecosystem,Ecological,single-c
Technology transfer,The capacity of individuals and communities to develop and acquire new technologies (C1) AND the extent to which new technologies and methods are transferred between and among actors in the system (C2),Socio-economic,multi-c
Transparent,The degree to which information regarding decision-making is available to the public or affected stakeholders in a timely manner (C1) AND the degree to which information regarding decision-making that is available is in a form accessible to the public or affected stakeholders (C2),Governance,multi-c
Wealth and reserves,"The aggregate value of assets available to individuals, organizations and communities that contribute to human well-being.",Socio-economic,single-c